approval_rate,threshold,approved,approved_default_rate,principal_lent,interest_earned,losses,net,return_on_principal
0.37202862741756837,0.09655558575357776,8733,0.0663002404671934,95814200.0,14967317.353109498,3514483.3865415417,11452833.966567956,0.11953169745787112
0.3881315497997785,0.09925257015388722,9111,0.0672813083086379,99695600.0,15562886.808680883,3693018.957071749,11869867.851609133,0.11906110050603169
0.4042344721819886,0.10192027749182453,9489,0.06944883549372959,103867100.0,16168616.941871306,4000453.1621188857,12168163.77975242,0.11715128062449438
0.42033739456419866,0.10485643210312201,9867,0.07185568055133272,107747175.0,16726301.107701954,4305680.96882115,12420620.138880804,0.11527559900183744
0.4364403169464088,0.10764079934669546,10245,0.07301122498779893,111827475.0,17347280.61314135,4510552.784563387,12836727.828577964,0.11479046476349362
0.4525432393286189,0.11049040660194817,10623,0.075120022592488,115966725.0,17951498.34283749,4804945.348438291,13146552.9943992,0.1133648725045844
0.468646161710829,0.11297429797323129,11001,0.07599309153713299,120119275.0,18579801.7248666,5025795.985315039,13554005.73955156,0.11283789166685829
0.48474908409303913,0.1158460679904606,11379,0.0763687494507426,124339200.0,19219732.230996773,5245409.914839247,13974322.316157525,0.11238871020689795
0.5008520064752492,0.11856416313210516,11757,0.07740069745683423,128418400.0,19831745.941135816,5479822.172116,14351923.769019816,0.11175909191377416
0.5169549288574593,0.12144571535859003,12135,0.0792748248866914,132602700.0,20417183.96445959,5862709.579160672,14554474.385298919,0.1097600153337671
0.5330578512396694,0.12440728804443689,12513,0.0804763046431711,136502425.0,20981339.713198088,6157214.570976716,14824125.142221373,0.10859972005787716
0.5491607736218795,0.12747784082077976,12891,0.08176246994026841,140555900.0,21579608.098762028,6423401.77511814,15156206.32364389,0.10783045267857051
0.5652636960040897,0.1308552174820265,13269,0.08365362875876102,144563100.0,22139782.299074978,6791715.710292548,15348066.58878243,0.10616863216673154
0.5813666183862998,0.1339857182939178,13647,0.08500036638088958,148470650.0,22720165.05105046,7036035.679882256,15684129.371168206,0.10563791140651843
0.5974695407685099,0.13727204119650407,14025,0.08684491978609625,152345100.0,23263564.94188954,7386150.342084638,15877414.5998049,0.10422005433587887
0.6135724631507199,0.1408072320122566,14403,0.0880372144692078,156142000.0,23814902.86211849,7665969.434089279,16148933.428029211,0.10342466106511516
0.62967538553293,0.14436685713661132,14781,0.08889790947838441,160135375.0,24403595.477492116,7930582.647054745,16473012.830437372,0.10286929312425422
0.6457783079151401,0.14793558172255167,15159,0.09103502869582426,164031650.0,24940189.552606925,8315859.147848639,16624330.404758286,0.1013483093339504
0.6618812302973502,0.15181059279140294,15537,0.09236017249147196,168062175.0,25516436.173479263,8643221.205462828,16873214.968016434,0.10039864691752581
0.6779841526795604,0.15599866594308262,15915,0.09337103361608545,172053575.0,26101773.926958114,8918009.147101458,17183764.779856656,0.09987450002045384
0.6940870750617705,0.16000891195977102,16293,0.09439636653777696,176040675.0,26676194.801070787,9227101.664280407,17449093.13679038,0.09911966729729013
0.7101899974439806,0.16394929090008545,16671,0.09531521804330874,180152225.0,27256732.135723867,9585578.154605072,17671153.981118795,0.09809012340046755
0.7262503195024282,0.16825013537114158,17048,0.09672688878460817,184308075.0,27839492.118606113,9961480.975806424,17878011.14279969,0.09700069377209702
0.7423532418846384,0.1727785227762529,17426,0.09830138872948468,188544475.0,28407077.93162308,10433706.435579412,17973371.496043667,0.09532695930784324
0.7584561642668485,0.17742442306770412,17804,0.10070770613345316,192684500.0,28956644.417925023,10912368.39498266,18044276.022942364,0.09364674388932355
0.7745590866490585,0.18242695721802973,18182,0.10235397646023539,196713675.0,29516839.507788997,11292965.082726605,18223874.425062392,0.09264162455946386
0.7906620090312686,0.18757481726605232,18560,0.10371767241379311,200773925.0,30085219.12374495,11663499.469738526,18421719.65400642,0.09175354645283954
0.8067649314134787,0.1932219532693973,18938,0.10634702714119759,204963375.0,30636185.20996564,12165237.264060745,18470947.945904896,0.09011828550298265
0.8228678537956888,0.1991584236934196,19316,0.10892524332159867,208797975.0,31121829.670128055,12687226.141280793,18434603.528847262,0.08828918732974907
0.838970776177899,0.20568591951483806,19694,0.11084594292677973,213045350.0,31688450.385887623,13168867.44112425,18519582.944763374,0.08692789091507218
0.8550736985601091,0.21284877718742307,20072,0.11294340374651256,217131150.0,32231628.84748582,13638535.165236302,18593093.68224952,0.08563070606059757
0.8711766209423192,0.22026313366996877,20450,0.11452322738386309,221341400.0,32784579.44105398,14145290.056431893,18639289.384622086,0.08421058773741417
0.8872795433245293,0.22827234250861375,20828,0.1164778183214903,225467225.0,33333331.23486591,14618710.063079491,18714621.17178642,0.08300373223552301
0.9033824657067394,0.23855610380721556,21206,0.11817410166933887,229428750.0,33852194.25906986,15100309.202445019,18751885.05662484,0.08173293476351522
0.9194853880889495,0.24917678468588872,21584,0.11990363232023721,233420400.0,34380031.434394576,15568655.89824868,18811375.536145896,0.08059010924557534
0.9355883104711595,0.2628858992433767,21962,0.12207449230489026,237484525.0,34903995.686959065,16090771.256902508,18813224.430056557,0.07921873827381619
0.9516912328533697,0.2797535959451582,22340,0.12470904207699195,241576100.0,35389197.28863973,16758705.655214828,18630491.633424904,0.07712059112397669
0.9677941552355798,0.3072859883452454,22718,0.12725592041552955,245776500.0,35895292.6192566,17417533.390294813,18477759.228961788,0.07518114721692996
0.9838970776177899,0.35686920099459807,23096,0.1294596466920679,249954475.0,36418362.79903718,18006655.801868044,18411706.997169137,0.07366024151865709
1.0,0.9583778506621892,23474,0.13402061855670103,253808425.0,36779889.902823575,18957023.241816506,17822866.66100707,0.07022172987759201
