model,method,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc,roc_auc_fold_sd,f1_fold_sd
Logistic regression,None,0.6784376984274934,0.24217788122222578,0.11047038802053896,0.37027790114905085,0.005557152638822039,0.13397020591363876,0.5,70,95,47336,7270,0.8655310291942816,0.42424242424242425,0.009536784741144414,0.9979970905104256,0.01865423051299134,0.5037669376257851,0.09755861532681953,0.04683121665937535,0.008513901994338515,0.004676164563696845
Logistic regression,Class weight,0.6786409766500335,0.2424653682961891,0.22505262352405542,0.6408372772612989,0.32703014670417896,0.46104267158048207,0.5,4628,18017,29414,2712,0.6215332931660915,0.20437182601015677,0.6305177111716621,0.6201429444877823,0.3086876771719193,0.6253303278297222,0.6253088116744331,0.1734007021833102,0.008333856090292071,0.007645997650332232
Logistic regression,Random over,0.6786741842172341,0.24247519498053424,0.22512479093162424,0.641124524605814,0.3273969188673712,0.4614094437436743,0.5,4636,18023,29408,2704,0.6215698088404448,0.20459861423716846,0.6316076294277929,0.6200164449410723,0.30907696923230776,0.6258120371844327,0.6257852003646925,0.1740513168765876,0.008333533370182129,0.007544006971656877
Logistic regression,Random under,0.6781190080390405,0.242193411676986,0.2252742987760024,0.6414383265462852,0.32741771918309914,0.4614302440594023,0.5,4624,18045,29386,2716,0.6209490423764401,0.2039790021615422,0.6299727520435967,0.6195526132698025,0.30817421440234594,0.6247626826566997,0.6247409581717687,0.1725884165152083,0.007985318105339556,0.005889623391562726
Logistic regression,SMOTE,0.6752267326287312,0.23879045809869842,0.226074847565694,0.6423181490628238,0.32559061936006584,0.45960314423636894,0.5,4634,18390,29041,2706,0.6148326669222763,0.20126824183460737,0.6313351498637603,0.6122788893339799,0.30522987748649716,0.6218070195988701,0.6217340141540311,0.1681278846422711,0.008293193215223269,0.0075150277975880395
Logistic regression,ADASYN,0.6736742293135757,0.23668461986250552,0.23276818557005627,0.6567433740897547,0.3383481750569936,0.47236069993329677,0.5,4831,19725,27706,2509,0.5940552482152964,0.19673399576478254,0.658174386920981,0.5841327401910144,0.3029219964885879,0.6211535635559977,0.6200493594510791,0.16597980396778372,0.007353719129638306,0.005677966716139335
Logistic regression,Tomek links,0.6785320244632429,0.24214867091145786,0.11062228701011467,0.37064100562456365,0.00902980202357304,0.14127126217117372,0.5,108,136,47295,7232,0.8654762556827518,0.4426229508196721,0.014713896457765668,0.997132676941241,0.02848101265822785,0.5059232866995034,0.1211268218156826,0.06059980195788533,0.008506665993986697,0.005806169010313795
Logistic regression,ENN,0.6791985483918501,0.24300887180684522,0.11862869043812409,0.39058958662983345,0.06431802171867816,0.1983305465949814,0.5,759,1455,45976,6581,0.8532800204487776,0.3428184281842818,0.10340599455040872,0.9693238599228353,0.15888633033284488,0.536364927236622,0.3165973748734532,0.12580207287074,0.009006628355387748,0.013115575123512744
Logistic regression,SMOTE-Tomek,0.6752339164472219,0.23880580056546438,0.2260800414032309,0.6423327213155982,0.32554761047396835,0.45956013535027146,0.5,4634,18388,29043,2706,0.6148691825966296,0.20128572669620362,0.6313351498637603,0.6123210558495499,0.30524998353204663,0.621828102856655,0.6217554226217182,0.16815899272192927,0.008292134669422762,0.0074983910564970545
Logistic regression,SMOTE-ENN,0.6764435554369327,0.23952520381568967,0.36239973880439696,1.0016506272962376,0.4754792468322527,0.6094917717085558,0.5,6344,31311,16120,996,0.4101440543353234,0.16847696189085115,0.8643051771117166,0.3398621154940861,0.2819868874319369,0.6020836463029013,0.5419820900414319,0.15005583070037495,0.008791183816878361,0.0012391288071937465
