threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.05396102097424208,33248694.467496317,1416.4051489944754,3064,20410,3039,17371,2957,107,0.14889759921607054,0.9659885568976478,0.25802343352012225
0.054921985458467076,33074941.58644547,1409.003220007049,3182,20292,3033,17259,3069,113,0.14946777054997043,0.9640813731722823,0.2588104787097875
0.05582086808498306,32877343.69527408,1400.5854858683686,3300,20174,3030,17144,3184,116,0.15019331813224943,0.9631277813095995,0.25986277873070324
0.05667957692589542,32695642.477516383,1392.844955163857,3418,20056,3025,17031,3297,121,0.15082768248903072,0.9615384615384616,0.26075338332902337
0.05772925394660932,32545734.60658608,1386.4588313276852,3536,19938,3016,16922,3406,130,0.1512689336944528,0.9586776859504132,0.2613065326633166
0.05862687569306039,32373858.360291947,1379.1368475884785,3653,19821,3010,16811,3517,136,0.15185913929670553,0.9567705022250477,0.2621152087778117
0.05960335021793196,32200105.4792411,1371.7349186010522,3771,19703,3004,16699,3629,142,0.15246409176267572,0.9548633184996821,0.2629436736837498
0.06046048537742452,32058145.94501764,1365.6873964819647,3889,19585,2994,16591,3737,152,0.1528720959918305,0.9516846789574063,0.2634287976771809
0.06146632018973444,31924134.74750103,1359.978476079962,4007,19467,2983,16484,3844,163,0.15323367750552216,0.9481881754609027,0.26383053995489325
0.06242822780917327,31750381.866450183,1352.5765470925357,4125,19349,2977,16372,3956,169,0.15385808052095715,0.9462809917355371,0.26468104023116246
0.06328967409878973,31592525.658813033,1345.851821539279,4243,19231,2969,16262,4066,177,0.1543861473662316,0.9437380801017164,0.2653617553738213
0.06416150374388008,31444494.42263944,1339.5456429513265,4360,19114,2960,16154,4174,186,0.15486031181333054,0.9408773045136681,0.265947888589398
0.06500334170268686,31294586.551709138,1333.1595191151546,4478,18996,2951,16045,4283,195,0.15534849441987786,0.9380165289256198,0.26655225363562457
0.06574708740208882,31128782.007365137,1326.096191844813,4596,18878,2944,15934,4394,202,0.15594872338171417,0.9357914812460267,0.26734471485652017
0.06669341857761384,30970925.799727984,1319.3714662915559,4714,18760,2936,15824,4504,210,0.15650319829424306,0.9332485696122059,0.2680544143157126
