model,method,fold,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc
Logistic regression,SMOTE,2,0.6847480239055864,0.24318375861962063,0.22559517777622756,0.6411641158413454,0.3265178061742821,0.46053277787411784,0.5,963,3679,5807,505,0.6180390724849371,0.2074536837570013,0.6559945504087193,0.6121652962260173,0.31522094926350247,0.6340799233173684,0.6337011111506802,0.1848682258366622
Gradient boosting,SMOTE,2,0.6764553643085666,0.23294499634886218,0.11215520771304664,0.37392932770713005,0.021713287167475726,0.15545005019453673,0.5,38,57,9429,1430,0.8642505020996896,0.4,0.025885558583106268,0.9939911448450348,0.04862444017914267,0.5099383517140705,0.16040578546603304,0.07302847414240486
Logistic regression,ADASYN,2,0.6821792735142165,0.24049753193650564,0.2327646280745458,0.6566672687767799,0.33982894412677905,0.4738439158266148,0.5,993,3943,5543,475,0.5966770129633011,0.20117504051863858,0.6764305177111717,0.5843348091924943,0.31011867582760777,0.630382663451833,0.6286985744366991,0.17854215193633427
Gradient boosting,ADASYN,2,0.6734038287313987,0.2314816586458671,0.11221262465262277,0.37503025293830383,0.020965471446826974,0.15389486057213797,0.5,27,49,9437,1441,0.8639766295417199,0.35526315789473684,0.018392370572207085,0.9948344929369597,0.034974093264248704,0.5066134317545834,0.13526775170790079,0.05428503679823198
Logistic regression,Tomek links,2,0.6895784609586708,0.2473094869720921,0.11000063450140118,0.36810143193034583,0.00869830595917026,0.1411980583969785,0.5,18,24,9462,1450,0.865437283184225,0.42857142857142855,0.01226158038147139,0.9974699557242251,0.02384105960264901,0.5048657680528482,0.11059185340799428,0.05364251883750103
Gradient boosting,Tomek links,2,0.6910752171133021,0.24506350307302932,0.11005917273655703,0.3677165727588628,0.012916845595331765,0.14081332345993025,0.5,20,31,9455,1448,0.8649808289209421,0.39215686274509803,0.013623978201634877,0.9967320261437909,0.026333113890717578,0.5051780021727129,0.11653092034758145,0.05182492924662249
Logistic regression,ENN,2,0.6911406369116454,0.2481301304059415,0.1169161113509514,0.38580465571870354,0.0631761976737436,0.19719116937357928,0.5,134,259,9227,1334,0.8545736717180938,0.34096692111959287,0.09128065395095368,0.97269660552393,0.14400859752821063,0.5319886297374419,0.29797379456606105,0.11718753636876733
Gradient boosting,ENN,2,0.6899221482856422,0.24286714659300784,0.1182545081502015,0.387751341162189,0.06279619693445761,0.1968111686342933,0.5,160,323,9163,1308,0.8511046193171444,0.33126293995859213,0.10899182561307902,0.9659498207885304,0.16401845207585855,0.5374708232008047,0.3244697742754607,0.12435411832978474
Logistic regression,SMOTE-Tomek,2,0.6847470903629096,0.24312674405263812,0.22559958430417149,0.6411719907347616,0.3264891876403128,0.4605041593401485,0.5,963,3676,5810,505,0.6183129450429067,0.20758784220737228,0.6559945504087193,0.6124815517604891,0.3153757982642869,0.6342380510846042,0.6338647806754661,0.18510210524492005
Gradient boosting,SMOTE-Tomek,2,0.6780003774384853,0.23457940985359316,0.11183552482022477,0.3735222033010594,0.02037196584177238,0.15417143418374318,0.5,37,55,9431,1431,0.8643417929523461,0.40217391304347827,0.025204359673024524,0.994201981868016,0.047435897435897434,0.5097031707705203,0.15829789745487866,0.07244350351363471
Logistic regression,SMOTE-ENN,2,0.6873074388701893,0.24375270601393303,0.3613213229059899,0.9972879216377136,0.47619063037452775,0.6102056020743634,0.5,1277,6287,3199,191,0.40861785649077964,0.16882601797990482,0.8698910081743869,0.3372338182584862,0.28277236492471214,0.6035624132164366,0.5416241004196292,0.15263746204429393
Gradient boosting,SMOTE-ENN,2,0.6852619032436156,0.24249226092740228,0.1496326714425108,0.46310580697291615,0.1505417008528036,0.2845566725526393,0.5,504,1371,8115,964,0.7868358590469235,0.2688,0.34332425068119893,0.8554712207463631,0.3015255758300927,0.599397735713781,0.5419446612358827,0.17980072177329517
Logistic regression,None,3,0.6816942621881895,0.2469228728229536,0.11024416032596533,0.36937486496668614,0.00646840154641214,0.1332841725528602,0.5,10,21,9465,1458,0.8649808289209421,0.3225806451612903,0.006811989100817439,0.997786211258697,0.0133422281521014,0.5022991001797572,0.08244336720464643,0.029487684095798366
Gradient boosting,None,3,0.6726169958769009,0.23866418314886995,0.11085421625673177,0.37173433970887465,0.01060344318068806,0.13282392700204865,0.5,14,8,9478,1454,0.8665327734161037,0.6363636363636364,0.009536784741144414,0.999156651908075,0.018791946308724834,0.5043467183246098,0.09761527499285073,0.06615077395011569
Logistic regression,Class weight,3,0.6818026967606357,0.24774680581010405,0.22359126582194958,0.6378369599654738,0.3258649373301805,0.45987990903001624,0.5,919,3563,5923,549,0.6246120138762096,0.20504239178937975,0.6260217983651226,0.6243938435589289,0.3089075630252101,0.6252078209620258,0.6252072910906203,0.17350454695537804
Gradient boosting,Class weight,3,0.6733156448539394,0.24064125520076796,0.2129444146371769,0.6110467163267419,0.3051999601943903,0.43921493189422595,0.5,869,3315,6171,599,0.6426876027022093,0.20769598470363287,0.5919618528610354,0.6505376344086021,0.3075017692852088,0.6212497436348188,0.6205589926996071,0.1700298768871625
Logistic regression,Random over,3,0.682280742422075,0.24887372371253247,0.22342759864227832,0.6375408013139797,0.32562637792756155,0.4596413496273973,0.5,922,3564,5922,546,0.6247945955815227,0.20552831029870708,0.6280653950953679,0.6242884250474383,0.3097077594894188,0.6261769100714031,0.6261740623268296,0.17482350827195559
Gradient boosting,Random over,3,0.6581360973090417,0.2271745584115034,0.19173374010290667,0.5618913435860109,0.25679280970325785,0.3908077814030935,0.5,683,2603,6883,785,0.6907065911995618,0.20785149117468046,0.4652588555858311,0.725595614589922,0.2873369793857804,0.5954272350878765,0.5810247716424876,0.14188356519014783
Logistic regression,Random under,3,0.6814595839214652,0.24704900334671664,0.22427739585061215,0.6394743582468482,0.3261215723071574,0.46013654400699305,0.5,917,3528,5958,551,0.6276246120138762,0.2062992125984252,0.6246594005449592,0.6280834914611005,0.31016404532386266,0.6263714460030299,0.6263691062530751,0.17534384275210224
Gradient boosting,Random under,3,0.6764381296745353,0.23487314733549164,0.22657837068440798,0.6424379230462839,0.327685801765907,0.4617007734657427,0.5,947,3651,5835,521,0.6191345627168158,0.20595911265767725,0.6450953678474114,0.6151170145477546,0.31223211341905704,0.6301061911975829,0.6299278821967521,0.17962059023410423
Logistic regression,SMOTE,3,0.6784117825150042,0.24581910724476067,0.22466976070862152,0.6394635794446905,0.324884616132909,0.4588995878327447,0.5,921,3667,5819,547,0.61530034690524,0.20074106364428945,0.6273841961852861,0.6134303183639047,0.30416116248348746,0.6204072572745953,0.6203680256125572,0.16628084609483595
Gradient boosting,SMOTE,3,0.6658875893974829,0.23427700913866728,0.11247446433396996,0.3763038075421018,0.023956297315677038,0.15433265037228094,0.5,41,52,9434,1427,0.8649808289209421,0.44086021505376344,0.027929155313351498,0.9945182374024879,0.05253042921204356,0.5112236963579198,0.16666149619625603,0.08334779433457108
Logistic regression,ADASYN,3,0.6766593074779353,0.2443654171509554,0.2312191662999892,0.6534061701189503,0.3366549506400995,0.4706699223399352,0.5,957,3928,5558,511,0.5947599050575132,0.19590583418628454,0.6519073569482289,0.5859160868648534,0.30127498819455373,0.6189117219065412,0.6180315587261831,0.16299279189223165
