protocol,fold,n_train,n_test,minority_train,minority_test,test_default_rate,roc_auc,pr_auc,brier,ece,precision,recall,f1,balanced_accuracy
Repeated stratified (5 x 5),2,43817,10954,5872,1468,0.13401497169983567,0.6895964137024533,0.24781510915912433,0.10989308955447535,0.0067375459774907265,0.39285714285714285,0.007493188010899182,0.014705882352941175,0.5028505366577793
Repeated stratified (5 x 5),3,43817,10954,5872,1468,0.13401497169983567,0.6816942621881895,0.2469228728229536,0.11024416032596533,0.00646840154641214,0.3225806451612903,0.006811989100817439,0.0133422281521014,0.5022991001797572
Repeated stratified (5 x 5),4,43817,10954,5872,1468,0.13401497169983567,0.6660589303841427,0.23082162314188437,0.11159889444731246,0.01292056691345278,0.3783783783783784,0.009536784741144414,0.0186046511627907,0.5035560794884301
Repeated stratified (5 x 5),5,43817,10954,5872,1468,0.13401497169983567,0.6776714831723906,0.25648373980218453,0.10985270127284875,0.005878709038165652,0.6071428571428571,0.011580381471389645,0.022727272727272728,0.5052103889224965
Repeated stratified (5 x 5),6,43816,10955,5872,1468,0.13400273847558192,0.6859786473904201,0.2579588037894964,0.10953168875095873,0.0036878122345030085,0.5,0.011580381471389645,0.022636484687083888,0.5048942278390995
Repeated stratified (5 x 5),7,43817,10954,5872,1468,0.13401497169983567,0.678009641054277,0.23498339759957143,0.11104606100389976,0.008970061695491147,0.34782608695652173,0.010899182561307902,0.021136063408190225,0.5038683136082946
Repeated stratified (5 x 5),8,43817,10954,5872,1468,0.13401497169983567,0.6668193367997927,0.23404355069620875,0.11122697947939642,0.008424883991484496,0.6333333333333333,0.012942779291553134,0.025367156208277702,0.5058915878325781
Repeated stratified (5 x 5),9,43817,10954,5872,1468,0.13401497169983567,0.6805656090920738,0.25344498624903966,0.1099076663222443,0.005422620260760927,0.4827586206896552,0.009536784741144414,0.01870407481629927,0.5039777535343926
Repeated stratified (5 x 5),10,43817,10954,5872,1468,0.13401497169983567,0.6786923479948366,0.23641359041108131,0.11075717509568787,0.009686645870892803,0.3,0.006130790190735695,0.012016021361815754,0.5019585007247164
Repeated stratified (5 x 5),11,43816,10955,5872,1468,0.13400273847558192,0.6781474807487889,0.2410256481168221,0.11060886808454228,0.008148286658660664,0.3611111111111111,0.008855585831062671,0.017287234042553192,0.5032156078201376
Repeated stratified (5 x 5),12,43817,10954,5872,1468,0.13401497169983567,0.6876692225628935,0.24866584565945338,0.10999968596026652,0.005630957694886236,0.3157894736842105,0.008174386920980926,0.015936254980079678,0.5027167528111124
Repeated stratified (5 x 5),13,43817,10954,5872,1468,0.13401497169983567,0.6712859794528693,0.2324824968891681,0.11119023690338534,0.013805203945250328,0.3870967741935484,0.008174386920980926,0.01601067378252168,0.5030857176013296
Repeated stratified (5 x 5),14,43817,10954,5872,1468,0.13401497169983567,0.6776277502885366,0.24490928151893163,0.11039160392635664,0.005783029452800764,0.6153846153846154,0.010899182561307902,0.021419009370816595,0.5049224987232008
Repeated stratified (5 x 5),15,43817,10954,5872,1468,0.13401497169983567,0.6745107231020503,0.24616256349948776,0.11042315398583853,0.00925191005902632,0.4666666666666667,0.009536784741144414,0.018691588785046728,0.5039250442786473
Repeated stratified (5 x 5),16,43816,10955,5872,1468,0.13400273847558192,0.6839652798939837,0.25493176614397495,0.10973124511629247,0.004655670538944221,0.5384615384615384,0.009536784741144414,0.018741633199464525,0.5041359479729756
Repeated stratified (5 x 5),17,43817,10954,5872,1468,0.13401497169983567,0.6738346227712029,0.23970682126610926,0.11081376687301386,0.01432709647932321,0.5,0.013623978201634877,0.026525198938992044,0.5057578039859113
Repeated stratified (5 x 5),18,43817,10954,5872,1468,0.13401497169983567,0.6768939139336846,0.23601871163943478,0.11083897114286974,0.008626487316586853,0.43333333333333335,0.008855585831062671,0.017356475300400534,0.5035317355678611
Repeated stratified (5 x 5),19,43817,10954,5872,1468,0.13401497169983567,0.6810161511500384,0.2441029577985508,0.11032340904897317,0.007189255677810227,0.3333333333333333,0.006130790190735695,0.012040133779264214,0.5021166284919523
Repeated stratified (5 x 5),20,43817,10954,5872,1468,0.13401497169983567,0.6709537100709435,0.2359835440183583,0.11104203877134865,0.0072976608034978074,0.45,0.01226158038147139,0.02387267904509284,0.5049711865643389
Repeated stratified (5 x 5),21,43816,10955,5872,1468,0.13400273847558192,0.6774576654300206,0.23915171919760247,0.11083598485383406,0.007264278385568722,0.38,0.012942779291553134,0.025032938076416336,0.5048375749519851
Repeated stratified (5 x 5),22,43817,10954,5872,1468,0.13401497169983567,0.6832055241597973,0.24352212076618696,0.11027648874291722,0.00736767953268113,0.36363636363636365,0.008174386920980926,0.015989340439706862,0.502980299089839
Repeated stratified (5 x 5),23,43817,10954,5872,1468,0.13401497169983567,0.6842295486651487,0.2480782513772201,0.11011613406805867,0.009320702162237019,0.5294117647058824,0.01226158038147139,0.02396804260985353,0.5052874420988107
Repeated stratified (5 x 5),24,43817,10954,5872,1468,0.13401497169983567,0.6703147360142381,0.24111237430137544,0.11075657532433483,0.008604061313116394,0.5,0.010217983651226158,0.020026702269692925,0.5043183529894334
Repeated stratified (5 x 5),25,43817,10954,5872,1468,0.13401497169983567,0.6725626349687277,0.23841132560496706,0.11083905321796003,0.00657467197862214,0.4666666666666667,0.009536784741144414,0.018691588785046728,0.5039250442786473
Time-series split (5),1,9131,9128,1386,1148,0.12576687116564417,0.6957925082741696,0.24294445762010508,0.10433454566372398,0.012131693890295307,0.4126984126984127,0.02264808362369338,0.04293971924029728,0.5090057460724983
Time-series split (5),2,18259,9128,2534,1087,0.11908413672217354,0.6672884036012767,0.20579486303959427,0.10138648005377852,0.01985023736335459,0.5,0.0009199632014719411,0.0018365472910927456,0.5003978002800047
Time-series split (5),3,27387,9128,3621,1311,0.14362401402278702,0.6527842708595273,0.23023749183381284,0.11909590407287127,0.022985256542622803,0.0,0.0,0.0,0.49987207368555714
Time-series split (5),4,36515,9128,4932,1260,0.13803680981595093,0.6648286004793377,0.22558337199270823,0.11436089279553145,0.007680976305937314,0.0,0.0,0.0,0.49993645144890697
Time-series split (5),5,45643,9128,6192,1148,0.12576687116564417,0.6437488538419218,0.19746875361615013,0.10743484658223328,0.020063379059432757,0.0,0.0,0.0,0.49974937343358394
